CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2016,"Electricity, gas and water supply",Louth,616.0,128884.0,37147.0,0.4779491635889637
2011,"Electricity, gas and water supply",Meath,481.0,184135.0,41083.0,0.2612213864827436
2016,"Electricity, gas and water supply",Meath,1170.0,195044.0,42755.0,0.5998646459260475
2011,"Electricity, gas and water supply",Offaly,270.0,76687.0,35380.0,0.35208053516241344
2016,"Electricity, gas and water supply",Offaly,528.0,77961.0,35901.0,0.6772617077769655
2011,"Electricity, gas and water supply",Westmeath,188.0,86164.0,37076.0,0.21818857063274685
2016,"Electricity, gas and water supply",Westmeath,356.0,88770.0,37856.0,0.40103638616649767
2011,"Electricity, gas and water supply",Wexford,259.0,145320.0,33672.0,0.17822736030828518
2016,"Electricity, gas and water supply",Wexford,527.0,149722.0,34430.0,0.351985680127169
2011,"Electricity, gas and water supply",Wicklow,387.0,136640.0,41725.0,0.2832259953161592
2016,"Electricity, gas and water supply",Wicklow,715.0,142425.0,43075.0,0.5020186062840091
2011,"Electricity, gas and water supply",Clare,483.0,117196.0,38592.0,0.4121301068295846
2016,"Electricity, gas and water supply",Clare,687.0,118817.0,39716.0,0.5782000892128231
2011,"Electricity, gas and water supply",Cork,1913.0,519032.0,39169.0,0.3685707239630697
2016,"Electricity, gas and water supply",Cork,3085.0,542868.0,41122.0,0.568278108122048
2011,"Electricity, gas and water supply",Kerry,425.0,145502.0,34455.0,0.29209220491814547
2016,"Electricity, gas and water supply",Kerry,740.0,147707.0,34700.0,0.5009918284170689
2011,"Electricity, gas and water supply",Limerick,410.0,191809.0,38156.0,0.21375430767065154
2016,"Electricity, gas and water supply",Limerick,808.0,194899.0,39464.0,0.41457370227656376
2011,"Electricity, gas and water supply",Tipperary,294.0,158754.0,35722.0,0.18519218413394306
2016,"Electricity, gas and water supply",Tipperary,684.0,159553.0,36390.0,0.42869767412709253
2011,"Electricity, gas and water supply",Waterford,193.0,113795.0,36959.0,0.16960323388549586
2016,"Electricity, gas and water supply",Waterford,320.0,116176.0,37279.0,0.27544415369783776
2011,"Electricity, gas and water supply",Galway,508.0,250653.0,37499.0,0.20267062432925198
2016,"Electricity, gas and water supply",Galway,1151.0,258058.0,39042.0,0.446023762099993
2011,"Electricity, gas and water supply",Leitrim,104.0,31798.0,34461.0,0.3270645952575634
2016,"Electricity, gas and water supply",Leitrim,139.0,32044.0,34848.0,0.43377855448757957
2011,"Electricity, gas and water supply",Mayo,373.0,130638.0,34117.0,0.285521823665396
2016,"Electricity, gas and water supply",Mayo,556.0,130507.0,35036.0,0.4260307876205874
2011,"Electricity, gas and water supply",Roscommon,186.0,64065.0,35515.0,0.2903301334582065
2016,"Electricity, gas and water supply",Roscommon,292.0,64544.0,36199.0,0.45240456122954886
2011,"Electricity, gas and water supply",Sligo,186.0,65393.0,36340.0,0.28443411374306116
