"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","South Dublin","1981","Number of Persons Resident","Number",""
"All households","South Dublin","1986","Number of Households","Number","49974"
"All households","South Dublin","1986","Number of Persons Resident","Number","199546"
"All households","South Dublin","1991","Number of Households","Number","54875"
"All households","South Dublin","1991","Number of Persons Resident","Number","208739"
"All households","South Dublin","1996","Number of Households","Number","61809"
"All households","South Dublin","1996","Number of Persons Resident","Number","218728"
"All households","South Dublin","2002","Number of Households","Number","73591"
"All households","South Dublin","2002","Number of Persons Resident","Number","239571"
"All households","South Dublin","2006","Number of Households","Number","80715"
"All households","South Dublin","2006","Number of Persons Resident","Number","248011"
"All households","South Dublin","2011","Number of Households","Number","90148"
"All households","South Dublin","2011","Number of Persons Resident","Number","267880"
"All households","South Dublin","2016","Number of Households","Number","92632"
"All households","South Dublin","2016","Number of Persons Resident","Number","282168"
"All households","Kildare","1926","Number of Households","Number",""
"All households","Kildare","1926","Number of Persons Resident","Number","58028"
"All households","Kildare","1936","Number of Households","Number",""
"All households","Kildare","1936","Number of Persons Resident","Number","57892"
"All households","Kildare","1946","Number of Households","Number",""
"All households","Kildare","1946","Number of Persons Resident","Number","64849"
"All households","Kildare","1961","Number of Households","Number",""
"All households","Kildare","1961","Number of Persons Resident","Number","64420"
"All households","Kildare","1966","Number of Households","Number",""
"All households","Kildare","1966","Number of Persons Resident","Number","66404"
"All households","Kildare","1971","Number of Households","Number",""
"All households","Kildare","1971","Number of Persons Resident","Number","71977"
"All households","Kildare","1979","Number of Households","Number","23560"
"All households","Kildare","1979","Number of Persons Resident","Number","97185"
"All households","Kildare","1981","Number of Households","Number","25959"
"All households","Kildare","1981","Number of Persons Resident","Number","104122"
"All households","Kildare","1986","Number of Households","Number","29813"
"All households","Kildare","1986","Number of Persons Resident","Number","116247"
"All households","Kildare","1991","Number of Households","Number","33067"
"All households","Kildare","1991","Number of Persons Resident","Number","122656"
"All households","Kildare","1996","Number of Households","Number","39041"
"All households","Kildare","1996","Number of Persons Resident","Number","134992"
"All households","Kildare","2002","Number of Households","Number","50593"
"All households","Kildare","2002","Number of Persons Resident","Number","163828"
"All households","Kildare","2006","Number of Households","Number","61083"
"All households","Kildare","2006","Number of Persons Resident","Number","186384"
"All households","Kildare","2011","Number of Households","Number","70882"
