"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Non-private","Dublin","2016","Number of Persons Resident","Number","48840"
"Non-private","Dublin City","1926","Number of Households","Number",""
"Non-private","Dublin City","1926","Number of Persons Resident","Number",""
"Non-private","Dublin City","1936","Number of Households","Number",""
"Non-private","Dublin City","1936","Number of Persons Resident","Number","43115"
"Non-private","Dublin City","1946","Number of Households","Number",""
"Non-private","Dublin City","1946","Number of Persons Resident","Number","45633"
"Non-private","Dublin City","1961","Number of Households","Number",""
"Non-private","Dublin City","1961","Number of Persons Resident","Number","30098"
"Non-private","Dublin City","1966","Number of Households","Number",""
"Non-private","Dublin City","1966","Number of Persons Resident","Number","30512"
"Non-private","Dublin City","1971","Number of Households","Number",""
"Non-private","Dublin City","1971","Number of Persons Resident","Number","25582"
"Non-private","Dublin City","1979","Number of Households","Number","604"
"Non-private","Dublin City","1979","Number of Persons Resident","Number","23166"
"Non-private","Dublin City","1981","Number of Households","Number","590"
"Non-private","Dublin City","1981","Number of Persons Resident","Number","22166"
"Non-private","Dublin City","1986","Number of Households","Number","586"
"Non-private","Dublin City","1986","Number of Persons Resident","Number","20318"
"Non-private","Dublin City","1991","Number of Households","Number","612"
"Non-private","Dublin City","1991","Number of Persons Resident","Number","18670"
"Non-private","Dublin City","1996","Number of Households","Number","652"
"Non-private","Dublin City","1996","Number of Persons Resident","Number","21771"
"Non-private","Dublin City","2002","Number of Households","Number","669"
"Non-private","Dublin City","2002","Number of Persons Resident","Number","25226"
"Non-private","Dublin City","2006","Number of Households","Number","655"
"Non-private","Dublin City","2006","Number of Persons Resident","Number","27135"
"Non-private","Dublin City","2011","Number of Households","Number","708"
"Non-private","Dublin City","2011","Number of Persons Resident","Number","28728"
"Non-private","Dublin City","2016","Number of Households","Number","736"
"Non-private","Dublin City","2016","Number of Persons Resident","Number","32642"
"Non-private","Dún Laoghaire-Rathdown","1926","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1926","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1936","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1936","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1946","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1946","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1961","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1961","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1966","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1966","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1971","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1971","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1979","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1979","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1981","Number of Households","Number",""
"Non-private","Dún Laoghaire-Rathdown","1981","Number of Persons Resident","Number",""
"Non-private","Dún Laoghaire-Rathdown","1986","Number of Households","Number","193"
"Non-private","Dún Laoghaire-Rathdown","1986","Number of Persons Resident","Number","4753"
"Non-private","Dún Laoghaire-Rathdown","1991","Number of Households","Number","179"
"Non-private","Dún Laoghaire-Rathdown","1991","Number of Persons Resident","Number","4654"
"Non-private","Dún Laoghaire-Rathdown","1996","Number of Households","Number","184"
"Non-private","Dún Laoghaire-Rathdown","1996","Number of Persons Resident","Number","4965"
"Non-private","Dún Laoghaire-Rathdown","2002","Number of Households","Number","167"
"Non-private","Dún Laoghaire-Rathdown","2002","Number of Persons Resident","Number","4862"
"Non-private","Dún Laoghaire-Rathdown","2006","Number of Households","Number","148"
"Non-private","Dún Laoghaire-Rathdown","2006","Number of Persons Resident","Number","4510"
"Non-private","Dún Laoghaire-Rathdown","2011","Number of Households","Number","134"
"Non-private","Dún Laoghaire-Rathdown","2011","Number of Persons Resident","Number","4179"
"Non-private","Dún Laoghaire-Rathdown","2016","Number of Households","Number","161"
"Non-private","Dún Laoghaire-Rathdown","2016","Number of Persons Resident","Number","5151"
"Non-private","Fingal","1926","Number of Households","Number",""
"Non-private","Fingal","1926","Number of Persons Resident","Number",""
"Non-private","Fingal","1936","Number of Households","Number",""
"Non-private","Fingal","1936","Number of Persons Resident","Number",""
"Non-private","Fingal","1946","Number of Households","Number",""
"Non-private","Fingal","1946","Number of Persons Resident","Number",""
"Non-private","Fingal","1961","Number of Households","Number",""
"Non-private","Fingal","1961","Number of Persons Resident","Number",""
"Non-private","Fingal","1966","Number of Households","Number",""
"Non-private","Fingal","1966","Number of Persons Resident","Number",""
"Non-private","Fingal","1971","Number of Households","Number",""
"Non-private","Fingal","1971","Number of Persons Resident","Number",""
"Non-private","Fingal","1979","Number of Households","Number",""
"Non-private","Fingal","1979","Number of Persons Resident","Number",""
"Non-private","Fingal","1981","Number of Households","Number",""
"Non-private","Fingal","1981","Number of Persons Resident","Number",""
"Non-private","Fingal","1986","Number of Households","Number","60"
"Non-private","Fingal","1986","Number of Persons Resident","Number","2923"
"Non-private","Fingal","1991","Number of Households","Number","85"
"Non-private","Fingal","1991","Number of Persons Resident","Number","2651"
"Non-private","Fingal","1996","Number of Households","Number","122"
"Non-private","Fingal","1996","Number of Persons Resident","Number","2954"
"Non-private","Fingal","2002","Number of Households","Number","127"
"Non-private","Fingal","2002","Number of Persons Resident","Number","3266"
"Non-private","Fingal","2006","Number of Households","Number","138"
"Non-private","Fingal","2006","Number of Persons Resident","Number","3844"
"Non-private","Fingal","2011","Number of Households","Number","159"
"Non-private","Fingal","2011","Number of Persons Resident","Number","4605"
"Non-private","Fingal","2016","Number of Households","Number","159"
"Non-private","Fingal","2016","Number of Persons Resident","Number","6047"
"Non-private","South Dublin","1926","Number of Households","Number",""
"Non-private","South Dublin","1926","Number of Persons Resident","Number",""
"Non-private","South Dublin","1936","Number of Households","Number",""
"Non-private","South Dublin","1936","Number of Persons Resident","Number",""
"Non-private","South Dublin","1946","Number of Households","Number",""
"Non-private","South Dublin","1946","Number of Persons Resident","Number",""
"Non-private","South Dublin","1961","Number of Households","Number",""
"Non-private","South Dublin","1961","Number of Persons Resident","Number",""
"Non-private","South Dublin","1966","Number of Households","Number",""
"Non-private","South Dublin","1966","Number of Persons Resident","Number",""
"Non-private","South Dublin","1971","Number of Households","Number",""
"Non-private","South Dublin","1971","Number of Persons Resident","Number",""
"Non-private","South Dublin","1979","Number of Households","Number",""
"Non-private","South Dublin","1979","Number of Persons Resident","Number",""
"Non-private","South Dublin","1981","Number of Households","Number",""
"Non-private","South Dublin","1981","Number of Persons Resident","Number",""
"Non-private","South Dublin","1986","Number of Households","Number","68"
"Non-private","South Dublin","1986","Number of Persons Resident","Number","2466"
"Non-private","South Dublin","1991","Number of Households","Number","73"
"Non-private","South Dublin","1991","Number of Persons Resident","Number","2356"
"Non-private","South Dublin","1996","Number of Households","Number","101"
"Non-private","South Dublin","1996","Number of Persons Resident","Number","2552"
"Non-private","South Dublin","2002","Number of Households","Number","75"
"Non-private","South Dublin","2002","Number of Persons Resident","Number","3327"
"Non-private","South Dublin","2006","Number of Households","Number","84"
"Non-private","South Dublin","2006","Number of Persons Resident","Number","3549"
"Non-private","South Dublin","2011","Number of Households","Number","129"
"Non-private","South Dublin","2011","Number of Persons Resident","Number","4157"
"Non-private","South Dublin","2016","Number of Households","Number","109"
"Non-private","South Dublin","2016","Number of Persons Resident","Number","5000"
"Non-private","Kildare","1926","Number of Households","Number",""
"Non-private","Kildare","1926","Number of Persons Resident","Number","6215"
"Non-private","Kildare","1936","Number of Households","Number",""
"Non-private","Kildare","1936","Number of Persons Resident","Number","6553"
"Non-private","Kildare","1946","Number of Households","Number",""
"Non-private","Kildare","1946","Number of Persons Resident","Number","8295"
"Non-private","Kildare","1961","Number of Households","Number",""
"Non-private","Kildare","1961","Number of Persons Resident","Number","3073"
"Non-private","Kildare","1966","Number of Households","Number",""
"Non-private","Kildare","1966","Number of Persons Resident","Number","2587"
"Non-private","Kildare","1971","Number of Households","Number",""
"Non-private","Kildare","1971","Number of Persons Resident","Number","1700"
"Non-private","Kildare","1979","Number of Households","Number","101"
"Non-private","Kildare","1979","Number of Persons Resident","Number","3382"
"Non-private","Kildare","1981","Number of Households","Number","95"
"Non-private","Kildare","1981","Number of Persons Resident","Number","3165"
"Non-private","Kildare","1986","Number of Households","Number","107"
"Non-private","Kildare","1986","Number of Persons Resident","Number","3138"
"Non-private","Kildare","1991","Number of Households","Number","111"
"Non-private","Kildare","1991","Number of Persons Resident","Number","2975"
"Non-private","Kildare","1996","Number of Households","Number","112"
"Non-private","Kildare","1996","Number of Persons Resident","Number","2857"
"Non-private","Kildare","2002","Number of Households","Number","116"
"Non-private","Kildare","2002","Number of Persons Resident","Number","3290"
"Non-private","Kildare","2006","Number of Households","Number","126"
"Non-private","Kildare","2006","Number of Persons Resident","Number","2786"
"Non-private","Kildare","2011","Number of Households","Number","119"
"Non-private","Kildare","2011","Number of Persons Resident","Number","3337"
"Non-private","Kildare","2016","Number of Households","Number","111"
"Non-private","Kildare","2016","Number of Persons Resident","Number","3551"
"Non-private","Kilkenny","1926","Number of Households","Number",""
"Non-private","Kilkenny","1926","Number of Persons Resident","Number","4072"
"Non-private","Kilkenny","1936","Number of Households","Number",""
"Non-private","Kilkenny","1936","Number of Persons Resident","Number","3596"
"Non-private","Kilkenny","1946","Number of Households","Number",""
"Non-private","Kilkenny","1946","Number of Persons Resident","Number","4181"
"Non-private","Kilkenny","1961","Number of Households","Number",""
"Non-private","Kilkenny","1961","Number of Persons Resident","Number","2979"
"Non-private","Kilkenny","1966","Number of Households","Number",""
"Non-private","Kilkenny","1966","Number of Persons Resident","Number","2353"
"Non-private","Kilkenny","1971","Number of Households","Number",""
"Non-private","Kilkenny","1971","Number of Persons Resident","Number","2115"
"Non-private","Kilkenny","1979","Number of Households","Number","71"
"Non-private","Kilkenny","1979","Number of Persons Resident","Number","2537"
"Non-private","Kilkenny","1981","Number of Households","Number","81"
"Non-private","Kilkenny","1981","Number of Persons Resident","Number","2564"
"Non-private","Kilkenny","1986","Number of Households","Number","90"
"Non-private","Kilkenny","1986","Number of Persons Resident","Number","2325"
"Non-private","Kilkenny","1991","Number of Households","Number","122"
"Non-private","Kilkenny","1991","Number of Persons Resident","Number","2431"
"Non-private","Kilkenny","1996","Number of Households","Number","114"
"Non-private","Kilkenny","1996","Number of Persons Resident","Number","2703"
"Non-private","Kilkenny","2002","Number of Households","Number","144"
"Non-private","Kilkenny","2002","Number of Persons Resident","Number","2521"
"Non-private","Kilkenny","2006","Number of Households","Number","123"
"Non-private","Kilkenny","2006","Number of Persons Resident","Number","2457"
"Non-private","Kilkenny","2011","Number of Households","Number","152"
"Non-private","Kilkenny","2011","Number of Persons Resident","Number","2337"
"Non-private","Kilkenny","2016","Number of Households","Number","121"
"Non-private","Kilkenny","2016","Number of Persons Resident","Number","2895"
"Non-private","Laois","1926","Number of Households","Number",""
"Non-private","Laois","1926","Number of Persons Resident","Number","2730"
"Non-private","Laois","1936","Number of Households","Number",""
"Non-private","Laois","1936","Number of Persons Resident","Number","2701"
"Non-private","Laois","1946","Number of Households","Number",""
"Non-private","Laois","1946","Number of Persons Resident","Number","3518"
"Non-private","Laois","1961","Number of Households","Number",""
"Non-private","Laois","1961","Number of Persons Resident","Number","1889"
"Non-private","Laois","1966","Number of Households","Number",""
"Non-private","Laois","1966","Number of Persons Resident","Number","1639"
"Non-private","Laois","1971","Number of Households","Number",""
"Non-private","Laois","1971","Number of Persons Resident","Number","1410"
"Non-private","Laois","1979","Number of Households","Number","45"
"Non-private","Laois","1979","Number of Persons Resident","Number","1993"
"Non-private","Laois","1981","Number of Households","Number","46"
"Non-private","Laois","1981","Number of Persons Resident","Number","1982"
"Non-private","Laois","1986","Number of Households","Number","42"
"Non-private","Laois","1986","Number of Persons Resident","Number","1616"
"Non-private","Laois","1991","Number of Households","Number","47"
"Non-private","Laois","1991","Number of Persons Resident","Number","1388"
"Non-private","Laois","1996","Number of Households","Number","34"
"Non-private","Laois","1996","Number of Persons Resident","Number","1032"
"Non-private","Laois","2002","Number of Households","Number","42"
"Non-private","Laois","2002","Number of Persons Resident","Number","1413"
"Non-private","Laois","2006","Number of Households","Number","36"
"Non-private","Laois","2006","Number of Persons Resident","Number","1365"
"Non-private","Laois","2011","Number of Households","Number","37"
"Non-private","Laois","2011","Number of Persons Resident","Number","1749"
"Non-private","Laois","2016","Number of Households","Number","43"
"Non-private","Laois","2016","Number of Persons Resident","Number","2178"
"Non-private","Longford","1926","Number of Households","Number",""
"Non-private","Longford","1926","Number of Persons Resident","Number","1493"
"Non-private","Longford","1936","Number of Households","Number",""
"Non-private","Longford","1936","Number of Persons Resident","Number","1424"
"Non-private","Longford","1946","Number of Households","Number",""
"Non-private","Longford","1946","Number of Persons Resident","Number","1733"
"Non-private","Longford","1961","Number of Households","Number",""
"Non-private","Longford","1961","Number of Persons Resident","Number","924"
"Non-private","Longford","1966","Number of Households","Number",""
"Non-private","Longford","1966","Number of Persons Resident","Number","756"
"Non-private","Longford","1971","Number of Households","Number",""
"Non-private","Longford","1971","Number of Persons Resident","Number","585"
"Non-private","Longford","1979","Number of Households","Number","39"
"Non-private","Longford","1979","Number of Persons Resident","Number","974"
"Non-private","Longford","1981","Number of Households","Number","40"
"Non-private","Longford","1981","Number of Persons Resident","Number","896"
"Non-private","Longford","1986","Number of Households","Number","32"
"Non-private","Longford","1986","Number of Persons Resident","Number","789"
"Non-private","Longford","1991","Number of Households","Number","28"
"Non-private","Longford","1991","Number of Persons Resident","Number","703"
"Non-private","Longford","1996","Number of Households","Number","34"
"Non-private","Longford","1996","Number of Persons Resident","Number","683"
"Non-private","Longford","2002","Number of Households","Number","30"
"Non-private","Longford","2002","Number of Persons Resident","Number","604"
"Non-private","Longford","2006","Number of Households","Number","23"
"Non-private","Longford","2006","Number of Persons Resident","Number","462"
"Non-private","Longford","2011","Number of Households","Number","19"
"Non-private","Longford","2011","Number of Persons Resident","Number","383"
"Non-private","Longford","2016","Number of Households","Number","23"
"Non-private","Longford","2016","Number of Persons Resident","Number","430"
"Non-private","Louth","1926","Number of Households","Number",""
"Non-private","Louth","1926","Number of Persons Resident","Number","3507"
"Non-private","Louth","1936","Number of Households","Number",""
"Non-private","Louth","1936","Number of Persons Resident","Number","3178"
"Non-private","Louth","1946","Number of Households","Number",""
"Non-private","Louth","1946","Number of Persons Resident","Number","3446"
"Non-private","Louth","1961","Number of Households","Number",""
"Non-private","Louth","1961","Number of Persons Resident","Number","3199"
"Non-private","Louth","1966","Number of Households","Number",""
"Non-private","Louth","1966","Number of Persons Resident","Number","2984"
"Non-private","Louth","1971","Number of Households","Number",""
"Non-private","Louth","1971","Number of Persons Resident","Number","2683"
"Non-private","Louth","1979","Number of Households","Number","80"
"Non-private","Louth","1979","Number of Persons Resident","Number","2711"
"Non-private","Louth","1981","Number of Households","Number","78"
"Non-private","Louth","1981","Number of Persons Resident","Number","2499"
"Non-private","Louth","1986","Number of Households","Number","82"
"Non-private","Louth","1986","Number of Persons Resident","Number","2236"
"Non-private","Louth","1991","Number of Households","Number","78"
"Non-private","Louth","1991","Number of Persons Resident","Number","1932"
"Non-private","Louth","1996","Number of Households","Number","74"
"Non-private","Louth","1996","Number of Persons Resident","Number","1824"
"Non-private","Louth","2002","Number of Households","Number","75"
"Non-private","Louth","2002","Number of Persons Resident","Number","1481"
"Non-private","Louth","2006","Number of Households","Number","83"
"Non-private","Louth","2006","Number of Persons Resident","Number","1910"
"Non-private","Louth","2011","Number of Households","Number","71"
"Non-private","Louth","2011","Number of Persons Resident","Number","1523"
"Non-private","Louth","2016","Number of Households","Number","124"
"Non-private","Louth","2016","Number of Persons Resident","Number","2405"
"Non-private","Meath","1926","Number of Households","Number",""
"Non-private","Meath","1926","Number of Persons Resident","Number","2194"
"Non-private","Meath","1936","Number of Households","Number",""
"Non-private","Meath","1936","Number of Persons Resident","Number","1782"
"Non-private","Meath","1946","Number of Households","Number",""
"Non-private","Meath","1946","Number of Persons Resident","Number","2714"
"Non-private","Meath","1961","Number of Households","Number",""
"Non-private","Meath","1961","Number of Persons Resident","Number","1946"
"Non-private","Meath","1966","Number of Households","Number",""
"Non-private","Meath","1966","Number of Persons Resident","Number","1858"
"Non-private","Meath","1971","Number of Households","Number",""
"Non-private","Meath","1971","Number of Persons Resident","Number","1335"
"Non-private","Meath","1979","Number of Households","Number","75"
"Non-private","Meath","1979","Number of Persons Resident","Number","2132"
"Non-private","Meath","1981","Number of Households","Number","63"
"Non-private","Meath","1981","Number of Persons Resident","Number","1875"
"Non-private","Meath","1986","Number of Households","Number","60"
"Non-private","Meath","1986","Number of Persons Resident","Number","1739"
"Non-private","Meath","1991","Number of Households","Number","62"
"Non-private","Meath","1991","Number of Persons Resident","Number","1659"
"Non-private","Meath","1996","Number of Households","Number","65"
"Non-private","Meath","1996","Number of Persons Resident","Number","1243"
"Non-private","Meath","2002","Number of Households","Number","105"
"Non-private","Meath","2002","Number of Persons Resident","Number","1804"
"Non-private","Meath","2006","Number of Households","Number","83"
"Non-private","Meath","2006","Number of Persons Resident","Number","1512"
"Non-private","Meath","2011","Number of Households","Number","96"
"Non-private","Meath","2011","Number of Persons Resident","Number","1987"
"Non-private","Meath","2016","Number of Households","Number","98"
"Non-private","Meath","2016","Number of Persons Resident","Number","3108"
"Non-private","Offaly","1926","Number of Households","Number",""
"Non-private","Offaly","1926","Number of Persons Resident","Number","2241"
"Non-private","Offaly","1936","Number of Households","Number",""
"Non-private","Offaly","1936","Number of Persons Resident","Number","2190"
"Non-private","Offaly","1946","Number of Households","Number",""
"Non-private","Offaly","1946","Number of Persons Resident","Number","4014"
"Non-private","Offaly","1961","Number of Households","Number",""
"Non-private","Offaly","1961","Number of Persons Resident","Number","1812"
"Non-private","Offaly","1966","Number of Households","Number",""
"Non-private","Offaly","1966","Number of Persons Resident","Number","1501"
"Non-private","Offaly","1971","Number of Households","Number",""
"Non-private","Offaly","1971","Number of Persons Resident","Number","1053"
"Non-private","Offaly","1979","Number of Households","Number","47"
"Non-private","Offaly","1979","Number of Persons Resident","Number","1447"
"Non-private","Offaly","1981","Number of Households","Number","49"
"Non-private","Offaly","1981","Number of Persons Resident","Number","1392"
"Non-private","Offaly","1986","Number of Households","Number","46"
"Non-private","Offaly","1986","Number of Persons Resident","Number","1348"
"Non-private","Offaly","1991","Number of Households","Number","36"
"Non-private","Offaly","1991","Number of Persons Resident","Number","1091"
"Non-private","Offaly","1996","Number of Households","Number","45"
"Non-private","Offaly","1996","Number of Persons Resident","Number","1161"
"Non-private","Offaly","2002","Number of Households","Number","46"
"Non-private","Offaly","2002","Number of Persons Resident","Number","1248"
"Non-private","Offaly","2006","Number of Households","Number","52"
"Non-private","Offaly","2006","Number of Persons Resident","Number","1142"
"Non-private","Offaly","2011","Number of Households","Number","45"
"Non-private","Offaly","2011","Number of Persons Resident","Number","1064"
"Non-private","Offaly","2016","Number of Households","Number","45"
"Non-private","Offaly","2016","Number of Persons Resident","Number","1157"
"Non-private","Westmeath","1926","Number of Households","Number",""
"Non-private","Westmeath","1926","Number of Persons Resident","Number","4885"
"Non-private","Westmeath","1936","Number of Households","Number",""
"Non-private","Westmeath","1936","Number of Persons Resident","Number","4282"
"Non-private","Westmeath","1946","Number of Households","Number",""
"Non-private","Westmeath","1946","Number of Persons Resident","Number","5235"
"Non-private","Westmeath","1961","Number of Households","Number",""
"Non-private","Westmeath","1961","Number of Persons Resident","Number","3666"
"Non-private","Westmeath","1966","Number of Households","Number",""
"Non-private","Westmeath","1966","Number of Persons Resident","Number","3291"
"Non-private","Westmeath","1971","Number of Households","Number",""
"Non-private","Westmeath","1971","Number of Persons Resident","Number","2770"
"Non-private","Westmeath","1979","Number of Households","Number","62"
"Non-private","Westmeath","1979","Number of Persons Resident","Number","2709"
"Non-private","Westmeath","1981","Number of Households","Number","69"
"Non-private","Westmeath","1981","Number of Persons Resident","Number","3057"
"Non-private","Westmeath","1986","Number of Households","Number","71"
"Non-private","Westmeath","1986","Number of Persons Resident","Number","2754"
"Non-private","Westmeath","1991","Number of Households","Number","77"
"Non-private","Westmeath","1991","Number of Persons Resident","Number","2256"
"Non-private","Westmeath","1996","Number of Households","Number","66"
"Non-private","Westmeath","1996","Number of Persons Resident","Number","1915"
"Non-private","Westmeath","2002","Number of Households","Number","76"
"Non-private","Westmeath","2002","Number of Persons Resident","Number","1878"
"Non-private","Westmeath","2006","Number of Households","Number","73"
"Non-private","Westmeath","2006","Number of Persons Resident","Number","1745"
"Non-private","Westmeath","2011","Number of Households","Number","72"
"Non-private","Westmeath","2011","Number of Persons Resident","Number","2001"
"Non-private","Westmeath","2016","Number of Households","Number","64"
"Non-private","Westmeath","2016","Number of Persons Resident","Number","1713"
"Non-private","Wexford","1926","Number of Households","Number",""
"Non-private","Wexford","1926","Number of Persons Resident","Number","5138"
"Non-private","Wexford","1936","Number of Households","Number",""
"Non-private","Wexford","1936","Number of Persons Resident","Number","4244"
"Non-private","Wexford","1946","Number of Households","Number",""
"Non-private","Wexford","1946","Number of Persons Resident","Number","4735"
"Non-private","Wexford","1961","Number of Households","Number",""
"Non-private","Wexford","1961","Number of Persons Resident","Number","3047"
"Non-private","Wexford","1966","Number of Households","Number",""
"Non-private","Wexford","1966","Number of Persons Resident","Number","2836"
"Non-private","Wexford","1971","Number of Households","Number",""
"Non-private","Wexford","1971","Number of Persons Resident","Number","2352"
"Non-private","Wexford","1979","Number of Households","Number","87"
"Non-private","Wexford","1979","Number of Persons Resident","Number","2627"
"Non-private","Wexford","1981","Number of Households","Number","85"
"Non-private","Wexford","1981","Number of Persons Resident","Number","2501"
"Non-private","Wexford","1986","Number of Households","Number","102"
"Non-private","Wexford","1986","Number of Persons Resident","Number","2278"
"Non-private","Wexford","1991","Number of Households","Number","124"
"Non-private","Wexford","1991","Number of Persons Resident","Number","2197"
"Non-private","Wexford","1996","Number of Households","Number","120"
"Non-private","Wexford","1996","Number of Persons Resident","Number","2075"
"Non-private","Wexford","2002","Number of Households","Number","123"
"Non-private","Wexford","2002","Number of Persons Resident","Number","2263"
"Non-private","Wexford","2006","Number of Households","Number","118"
"Non-private","Wexford","2006","Number of Persons Resident","Number","2367"
"Non-private","Wexford","2011","Number of Households","Number","95"
"Non-private","Wexford","2011","Number of Persons Resident","Number","2455"
"Non-private","Wexford","2016","Number of Households","Number","117"
"Non-private","Wexford","2016","Number of Persons Resident","Number","2960"
"Non-private","Wicklow","1926","Number of Households","Number",""
"Non-private","Wicklow","1926","Number of Persons Resident","Number","2870"
"Non-private","Wicklow","1936","Number of Households","Number",""
"Non-private","Wicklow","1936","Number of Persons Resident","Number","2913"
"Non-private","Wicklow","1946","Number of Households","Number",""
"Non-private","Wicklow","1946","Number of Persons Resident","Number","4298"
"Non-private","Wicklow","1961","Number of Households","Number",""
"Non-private","Wicklow","1961","Number of Persons Resident","Number","1931"
"Non-private","Wicklow","1966","Number of Households","Number",""
"Non-private","Wicklow","1966","Number of Persons Resident","Number","2089"
"Non-private","Wicklow","1971","Number of Households","Number",""
"Non-private","Wicklow","1971","Number of Persons Resident","Number","1836"
"Non-private","Wicklow","1979","Number of Households","Number","92"
"Non-private","Wicklow","1979","Number of Persons Resident","Number","1891"
"Non-private","Wicklow","1981","Number of Households","Number","98"
"Non-private","Wicklow","1981","Number of Persons Resident","Number","1948"
"Non-private","Wicklow","1986","Number of Households","Number","105"
"Non-private","Wicklow","1986","Number of Persons Resident","Number","1959"
"Non-private","Wicklow","1991","Number of Households","Number","121"
"Non-private","Wicklow","1991","Number of Persons Resident","Number","1853"
"Non-private","Wicklow","1996","Number of Households","Number","129"
"Non-private","Wicklow","1996","Number of Persons Resident","Number","2364"
"Non-private","Wicklow","2002","Number of Households","Number","134"
"Non-private","Wicklow","2002","Number of Persons Resident","Number","2689"
"Non-private","Wicklow","2006","Number of Households","Number","135"
"Non-private","Wicklow","2006","Number of Persons Resident","Number","2631"
"Non-private","Wicklow","2011","Number of Households","Number","125"
"Non-private","Wicklow","2011","Number of Persons Resident","Number","2397"
"Non-private","Wicklow","2016","Number of Households","Number","128"
"Non-private","Wicklow","2016","Number of Persons Resident","Number","2886"
"Non-private","Munster","1926","Number of Households","Number",""
"Non-private","Munster","1926","Number of Persons Resident","Number","57259"
"Non-private","Munster","1936","Number of Households","Number",""
"Non-private","Munster","1936","Number of Persons Resident","Number","52187"
"Non-private","Munster","1946","Number of Households","Number",""
"Non-private","Munster","1946","Number of Persons Resident","Number","55623"
"Non-private","Munster","1961","Number of Households","Number",""
"Non-private","Munster","1961","Number of Persons Resident","Number","38163"
"Non-private","Munster","1966","Number of Households","Number",""
"Non-private","Munster","1966","Number of Persons Resident","Number","38309"
"Non-private","Munster","1971","Number of Households","Number",""
"Non-private","Munster","1971","Number of Persons Resident","Number","30689"
"Non-private","Munster","1979","Number of Households","Number","1034"
"Non-private","Munster","1979","Number of Persons Resident","Number","33597"
"Non-private","Munster","1981","Number of Households","Number","996"
"Non-private","Munster","1981","Number of Persons Resident","Number","33366"
"Non-private","Munster","1986","Number of Households","Number","1092"
"Non-private","Munster","1986","Number of Persons Resident","Number","30327"
"Non-private","Munster","1991","Number of Households","Number","1190"
"Non-private","Munster","1991","Number of Persons Resident","Number","28627"
"Non-private","Munster","1996","Number of Households","Number","1322"
"Non-private","Munster","1996","Number of Persons Resident","Number","29485"
"Non-private","Munster","2002","Number of Households","Number","1470"
"Non-private","Munster","2002","Number of Persons Resident","Number","32911"
"Non-private","Munster","2006","Number of Households","Number","1372"
"Non-private","Munster","2006","Number of Persons Resident","Number","30980"
"Non-private","Munster","2011","Number of Households","Number","1187"
"Non-private","Munster","2011","Number of Persons Resident","Number","27833"
"Non-private","Munster","2016","Number of Households","Number","1220"
"Non-private","Munster","2016","Number of Persons Resident","Number","32198"
"Non-private","Clare","1926","Number of Households","Number",""
"Non-private","Clare","1926","Number of Persons Resident","Number","4548"
"Non-private","Clare","1936","Number of Households","Number",""
"Non-private","Clare","1936","Number of Persons Resident","Number","3330"
"Non-private","Clare","1946","Number of Households","Number",""
"Non-private","Clare","1946","Number of Persons Resident","Number","4025"
"Non-private","Clare","1961","Number of Households","Number",""
"Non-private","Clare","1961","Number of Persons Resident","Number","2602"
"Non-private","Clare","1966","Number of Households","Number",""
"Non-private","Clare","1966","Number of Persons Resident","Number","3069"
"Non-private","Clare","1971","Number of Households","Number",""
"Non-private","Clare","1971","Number of Persons Resident","Number","2267"
"Non-private","Clare","1979","Number of Households","Number","62"
"Non-private","Clare","1979","Number of Persons Resident","Number","2535"
"Non-private","Clare","1981","Number of Households","Number","76"
"Non-private","Clare","1981","Number of Persons Resident","Number","2594"
"Non-private","Clare","1986","Number of Households","Number","97"
"Non-private","Clare","1986","Number of Persons Resident","Number","2309"
"Non-private","Clare","1991","Number of Households","Number","109"
"Non-private","Clare","1991","Number of Persons Resident","Number","2774"
"Non-private","Clare","1996","Number of Households","Number","122"
"Non-private","Clare","1996","Number of Persons Resident","Number","2966"
"Non-private","Clare","2002","Number of Households","Number","161"
"Non-private","Clare","2002","Number of Persons Resident","Number","3866"
"Non-private","Clare","2006","Number of Households","Number","191"
"Non-private","Clare","2006","Number of Persons Resident","Number","3694"
"Non-private","Clare","2011","Number of Households","Number","143"
"Non-private","Clare","2011","Number of Persons Resident","Number","2610"
"Non-private","Clare","2016","Number of Households","Number","133"
"Non-private","Clare","2016","Number of Persons Resident","Number","2946"
"Non-private","Cork","1926","Number of Households","Number",""
"Non-private","Cork","1926","Number of Persons Resident","Number","22777"
