Year,Industry,County,WorkingPopulation,Population,EarningsEuro,pctIndustryEmployement
2016,Wholesale and retail trade,Donegal,7866.0,159192.0,3230.88,4.941203075531433
2002,Wholesale and retail trade,Monaghan,2956.0,52593.0,914.77,5.620519841043485
2006,Wholesale and retail trade,Monaghan,3491.0,55997.0,1296.83,6.234262549779452
2011,Wholesale and retail trade,Monaghan,3654.0,60483.0,1274.55,6.041366995684737
2016,Wholesale and retail trade,Monaghan,3965.0,61386.0,1386.76,6.459127488352393
2002,Hotels and restaurants,Carlow,812.0,46014.0,809.06,1.7646803146868344
2006,Hotels and restaurants,Carlow,1146.0,50349.0,1187.51,2.276112733122803
2011,Hotels and restaurants,Carlow,1078.0,54612.0,1236.43,1.9739251446568522
2016,Hotels and restaurants,Carlow,1210.0,56932.0,1406.4,2.125342513876203
2002,Hotels and restaurants,Dublin,22631.0,1122821.0,27289.04,2.015548337624608
2006,Hotels and restaurants,Dublin,27997.0,1187176.0,36109.1,2.3582855448560283
2011,Hotels and restaurants,Dublin,29309.0,1273069.0,37612.95,2.302231850748074
2016,Hotels and restaurants,Dublin,33989.0,1347359.0,45235.86,2.522638732513012
2002,Hotels and restaurants,Kildare,2922.0,163944.0,3741.47,1.7823159127506956
2006,Hotels and restaurants,Kildare,3808.0,186335.0,5532.02,2.0436310945340384
2011,Hotels and restaurants,Kildare,3875.0,210312.0,5382.11,1.84250066567766
2016,Hotels and restaurants,Kildare,4436.0,222504.0,6549.12,1.9936720238737282
2002,Hotels and restaurants,Kilkenny,1835.0,80339.0,1420.61,2.2840712480862346
2006,Hotels and restaurants,Kilkenny,2301.0,87558.0,2109.2,2.6279723154937296
2011,Hotels and restaurants,Kilkenny,2330.0,95419.0,2097.65,2.4418616837317515
2016,Hotels and restaurants,Kilkenny,2575.0,99232.0,2433.84,2.5949290551435023
2002,Hotels and restaurants,Laois,877.0,58774.0,1080.46,1.492156395685167
2006,Hotels and restaurants,Laois,1289.0,67059.0,1622.99,1.9221879240668667
2011,Hotels and restaurants,Laois,1497.0,80559.0,1773.75,1.8582653707220793
2016,Hotels and restaurants,Laois,1711.0,84697.0,1965.76,2.0201423899311663
2002,Hotels and restaurants,Longford,406.0,31068.0,575.99,1.3068108664864169
2006,Hotels and restaurants,Longford,480.0,34391.0,823.53,1.3957139949405368
2011,Hotels and restaurants,Longford,558.0,39000.0,819.22,1.4307692307692308
2016,Hotels and restaurants,Longford,619.0,40873.0,900.29,1.5144471900765786
2002,Hotels and restaurants,Louth,1810.0,101821.0,2135.75,1.7776293691871028
2006,Hotels and restaurants,Louth,2260.0,111267.0,2819.45,2.031150296134523
2011,Hotels and restaurants,Louth,2353.0,122897.0,2792.38,1.9146114225733744
2016,Hotels and restaurants,Louth,2698.0,128884.0,3169.29,2.0933552651997145
2002,Hotels and restaurants,Meath,2141.0,134005.0,2760.13,1.5977015782993171
2006,Hotels and restaurants,Meath,2935.0,162831.0,4547.05,1.8024823283035785
2011,Hotels and restaurants,Meath,3462.0,184135.0,4517.75,1.8801422869090614
2016,Hotels and restaurants,Meath,3893.0,195044.0,5326.35,1.995959885974447
2002,Hotels and restaurants,Offaly,1103.0,63663.0,1153.52,1.7325605139563012
2006,Hotels and restaurants,Offaly,1420.0,70868.0,1696.29,2.003725235649376
2011,Hotels and restaurants,Offaly,1368.0,76687.0,1566.91,1.7838747114895617
2016,Hotels and restaurants,Offaly,1421.0,77961.0,1738.22,1.8227062249073254
2002,Hotels and restaurants,Westmeath,1400.0,71858.0,1416.39,1.9482868991622369
2006,Hotels and restaurants,Westmeath,1797.0,79346.0,1922.68,2.2647644493736294
2011,Hotels and restaurants,Westmeath,1808.0,86164.0,1910.08,2.09832412608514
2016,Hotels and restaurants,Westmeath,1980.0,88770.0,2135.55,2.2304832713754648
2002,Hotels and restaurants,Wexford,2726.0,116596.0,2100.64,2.3379875810490924
2006,Hotels and restaurants,Wexford,3554.0,131749.0,3148.13,2.697553681621872
2011,Hotels and restaurants,Wexford,3546.0,145320.0,3144.64,2.440132122213047
2016,Hotels and restaurants,Wexford,3924.0,149722.0,3534.74,2.620857322237213
2002,Hotels and restaurants,Wicklow,2402.0,114676.0,2469.38,2.0945969514109315
2006,Hotels and restaurants,Wicklow,2864.0,126194.0,3464.61,2.2695215303421716
2011,Hotels and restaurants,Wicklow,2981.0,136640.0,3431.16,2.181645199063232
2016,Hotels and restaurants,Wicklow,3451.0,142425.0,4058.4,2.423029664735826
2002,Hotels and restaurants,Clare,2740.0,103277.0,1981.22,2.653059248428982
2006,Hotels and restaurants,Clare,3102.0,110950.0,2675.52,2.7958539882830107
2011,Hotels and restaurants,Clare,2962.0,117196.0,2658.28,2.5273900133110345
2016,Hotels and restaurants,Clare,3360.0,118817.0,3004.26,2.827878165582366
2002,Hotels and restaurants,Cork,9098.0,447829.0,9049.27,2.0315790178840585
2006,Hotels and restaurants,Cork,10875.0,481295.0,12537.3,2.259528979108447
2011,Hotels and restaurants,Cork,11613.0,519032.0,12829.17,2.2374343007752895
2016,Hotels and restaurants,Cork,12819.0,542868.0,14725.07,2.3613475098919072
2002,Hotels and restaurants,Kerry,4764.0,132527.0,2238.72,3.5947391852226342
2006,Hotels and restaurants,Kerry,5581.0,139835.0,3119.66,3.9911324060499873
2011,Hotels and restaurants,Kerry,5483.0,145502.0,3087.22,3.7683330813322153
2016,Hotels and restaurants,Kerry,6450.0,147707.0,3612.05,4.366753099040668
2002,Hotels and restaurants,Limerick,3615.0,175304.0,3478.86,2.0621320677223567
2006,Hotels and restaurants,Limerick,4059.0,184055.0,4723.34,2.2053190622368315
2011,Hotels and restaurants,Limerick,4067.0,191809.0,5117.08,2.1203384616988776
